año,hasta_el_mes,modalidad,genero,ind._de_redescuento,ciiu_descripcion,destino,tamaño_empresa_beneficiario,descripción_macrosector,departamento_origen,ciudad_origen
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Femenino,No Redescuento,Cultivo de cana de azucar,CAPITAL DE TRABAJO,Microempresa,"Agricultura, ganadería, silvicultura y pesca",Santander,AGUADA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Cria de ganado bovino y bufalino,CAPITAL DE TRABAJO,Microempresa,"Agricultura, ganadería, silvicultura y pesca",Santander,ALBANIA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Cultivo de cafe,CAPITAL DE TRABAJO,Microempresa,"Agricultura, ganadería, silvicultura y pesca",Santander,ALBANIA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Mantenimiento y reparacion especial,CAPITAL DE TRABAJO,Microempresa,Industrias manufactureras,Santander,ALBANIA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 1 REDESCUENTO IBR NMV,Femenino,Redescuento,Fabricacion de tejidos de punto y g,INVERSION FIJA,Microempresa,Industrias manufactureras,Santander,ARATOCA
2023,MAYO,LINEA DE CREDITO PARA MIPYMES SANTANDER ADELANTE SUBCUPO 1 REDESCUENTO IBR NMV,Masculino,Redescuento,Construccion de otras obras de inge,CAPITAL DE TRABAJO,Pequeña,Construcción,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Femenino,No Redescuento,Comercio al por menor en establecim,CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Alquiler y arrendamiento de otros t,CAPITAL DE TRABAJO,Microempresa,Actividades de servicios administrativos y apoyo,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Femenino,No Redescuento,Comercio al por menor de computador,CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Femenino,No Redescuento,"Comercio al por menor de alimentos,",CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Femenino,No Redescuento,"Comercio al por menor de libros, pe",CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Femenino,No Redescuento,Comercio al por menor de prendas de,CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Femenino,No Redescuento,"Comercio al por menor de alimentos,",CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Femenino,No Redescuento,Instalaciones electricas,CAPITAL DE TRABAJO,Microempresa,Construcción,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Femenino,No Redescuento,Comercio al por menor de prendas de,CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Comercio al por mayor de materiales,CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Actividades de paisajismo y servici,CAPITAL DE TRABAJO,Microempresa,Actividades de servicios administrativos y apoyo,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Comercio al por menor de articulos,CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Comercio al por mayor de productos,CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Actividades de mensajeria,CAPITAL DE TRABAJO,Microempresa,Transporte y almacenamiento,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Alquiler y arrendamiento de vehicul,CAPITAL DE TRABAJO,Microempresa,Actividades de servicios administrativos y apoyo,Santander,BARBOSA
2023,MAYO,LINEA DE CREDITO PARA MIPES SANTANDER ADELANTE SUBCUPO 2 MICROFINANZAS IBR NMV,Masculino,No Redescuento,Comercio al por menor de carnes (in,CAPITAL DE TRABAJO,Microempresa,Comercio al por mayor-menor; reparación vehículos,Santander,BARBOSA
